UID          PID    PPID  C STIME TTY          TIME CMD
root          47       2  0 01:38 ?        00:00:00 [ksmd]
root          48       2  0 01:38 ?        00:00:00 [khugepaged]
root          94       2  0 01:38 ?        00:00:00 [kintegrityd]
root          95       2  0 01:38 ?        00:00:00 [kblockd]
root          96       2  0 01:38 ?        00:00:00 [blkcg_punt_bio]
root          97       2  0 01:38 ?        00:00:00 [tpm_dev_wq]
root          98       2  0 01:38 ?        00:00:00 [ata_sff]
root          99       2  0 01:38 ?        00:00:00 [md]
root         100       2  0 01:38 ?        00:00:00 [edac-poller]
root         101       2  0 01:38 ?        00:00:00 [devfreq_wq]
root         102       2  0 01:38 ?        00:00:00 [watchdogd]
root         104       2  0 01:38 ?        00:00:00 [kworker/2:1H-kblockd]
root         105       2  0 01:38 ?        00:00:00 [kswapd0]
root         106       2  0 01:38 ?        00:00:00 [ecryptfs-kthrea]
root         108       2  0 01:38 ?        00:00:00 [kthrotld]
root         109       2  0 01:38 ?        00:00:00 [irq/49-ACPI:Ged]
root         110       2  0 01:38 ?        00:00:00 [acpi_thermal_pm]
root         112       2  0 01:38 ?        00:00:00 [mld]
root         113       2  0 01:38 ?        00:00:00 [ipv6_addrconf]
root         122       2  0 01:38 ?        00:00:00 [kstrp]
root         125       2  0 01:38 ?        00:00:00 [zswap-shrink]
root         126       2  0 01:38 ?        00:00:00 [kworker/u9:0]
root         130       2  0 01:38 ?        00:00:00 [cryptd]
root         168       2  0 01:38 ?        00:00:00 [charger_manager]
root         190       2  0 01:38 ?        00:00:00 [kworker/3:1H-kblockd]
root         217       2  0 01:38 ?        00:00:00 [kworker/1:1H-kblockd]
root         241       2  0 01:38 ?        00:00:00 [kworker/0:1H-kblockd]
root         264       2  0 01:38 ?        00:00:00 [kdmflush]
root         285       2  0 01:38 ?        00:00:00 [kworker/3:3-events]
root         294       2  0 01:38 ?        00:00:00 [raid5wq]
root         342       2  0 01:38 ?        00:00:00 [jbd2/dm-0-8]
root         343       2  0 01:38 ?        00:00:00 [ext4-rsv-conver]
root         378       2  0 01:38 ?        00:00:00 [hwrng]
root         417       1  0 01:38 ?        00:00:00 /lib/systemd/systemd-journald
root         450       2  0 01:38 ?        00:00:01 [kworker/0:3-events]
root         452       2  0 01:38 ?        00:00:00 [kaluad]
root         457       2  0 01:38 ?        00:00:00 [kmpath_rdacd]
root         459       2  0 01:38 ?        00:00:00 [kmpathd]
root         460       2  0 01:38 ?        00:00:00 [kmpath_handlerd]
root         461       1  0 01:38 ?        00:00:00 /sbin/multipathd -d -s
root         465       2  0 01:38 ?        00:00:01 [kworker/2:6-events]
root         467       2  0 01:38 ?        00:00:00 [kworker/2:8-cgroup_destroy]
root         477       1  0 01:38 ?        00:00:00 /lib/systemd/systemd-udevd
root         543       2  0 01:38 ?        00:00:00 [jbd2/vda2-8]
root         544       2  0 01:38 ?        00:00:00 [ext4-rsv-conver]
systemd+     603       1  0 01:38 ?        00:00:00 /lib/systemd/systemd-timesyncd
systemd+     649       1  0 01:38 ?        00:00:00 /lib/systemd/systemd-networkd
systemd+     652       1  0 01:38 ?        00:00:00 /lib/systemd/systemd-resolved
root         675       1  0 01:38 ?        00:00:00 /usr/sbin/cron -f -P
message+     676       1  0 01:38 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         682       1  0 01:38 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         684       1  0 01:38 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         685       1  0 01:38 ?        00:00:00 /usr/libexec/polkitd --no-debug
syslog       687       1  0 01:38 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         688       1  0 01:38 ?        00:00:01 /usr/lib/snapd/snapd
root         689       1  0 01:38 ?        00:00:00 /lib/systemd/systemd-logind
root         692       1  0 01:38 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         727       1  0 01:38 ?        00:00:00 /usr/sbin/ModemManager
root         731       1  0 01:38 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 ttyAMA0 vt220
root         739       1  0 01:38 tty1     00:00:00 /bin/login -p --
root         746       1  0 01:38 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         819       1  0 01:38 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
jorge       1519       1  0 01:38 ?        00:00:00 /lib/systemd/systemd --user
jorge       1520    1519  0 01:38 ?        00:00:00 (sd-pam)
jorge       1527     739  0 01:38 tty1     00:00:00 -bash
root        1773       1  0 01:39 ?        00:00:00 /usr/libexec/packagekitd
root        3084       2  0 01:53 ?        00:00:00 [kworker/3:1-events]
root        3093       2  0 02:00 ?        00:00:00 [kworker/u8:0-events_power_efficient]
jorge       3095       1  0 02:01 ?        00:00:00 ssh-agent -s
root        3122       2  0 02:06 ?        00:00:00 [kworker/u8:1-events_power_efficient]
root        3124       2  0 02:07 ?        00:00:00 [kworker/0:1-events]
root        3457       2  0 02:12 ?        00:00:00 [kworker/0:0]
jorge       3458    1527  0 02:12 tty1     00:00:00 ps -ef
